age;sex;sex_orient;educ;town;marital;sex_experience;children;diner;pos_aff;neg_aff;gender_st_plus;gender_st_minus;norms_male;avoiding_femin;dislike_lgbt;self_esteem_tech;firmness;dom_males;need_sex;limit_emotion;sexism_minus;sexism_plus;polit_orientation;feminism;fairness_system;loyality_system;ideal_system;anti_egal;dom;subm;conven;hard_purpose;codes_purpose;hard_accident;codes_accident;cope_confr_acc;cope_dist_acc;cope_control_acc;cope_support_acc;cope_respon_acc;cope_run_acc;cope_plan_acc;cope_value_acc;cope_confr_purp;cope_dist_purp;cope_control_purp;cope_support_purp;cope_respon_purp;cope_run_purp;cope_plan_purp;cope_value_purp
18;Ж;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Нет;нет;24;40;20;5;1;63;6;6;18;13;6;6;8;14;26;4;5;2;2;2;23;30;16;17;0;work;0;danger;15;18;18;15;3;18;16;21;18;18;21;15;6;18;18;21
18;Ж;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Да;нет;23;38;14;1;5;51;7;3;10;12;10;5;4;16;21;2;6;3;1;6;35;16;9;14;1;relationship;1;sport;1;17;13;7;1;9;11;13;2;17;13;10;2;11;9;8
18;Ж;Бисексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Нет;нет;26;42;32;3;5;37;5;3;9;11;3;3;3;2;7;1;7;3;2;3;25;17;13;12;1;education;1;harass;9;10;15;12;7;17;9;9;6;15;16;11;3;13;5;13
18;М;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Нет;нет;25;29;24;8;0;65;8;10;12;12;11;5;7;15;8;5;5;4;4;4;22;17;16;18;0;harass;1;body;6;9;7;3;0;5;5;5;7;7;12;7;1;11;7;11
18;М;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Да;нет;23;34;15;7;0;90;15;15;17;12;11;10;10;17;14;4;3;7;6;6;19;20;16;17;0;harass;0;comfort;11;12;15;11;9;12;12;18;9;14;12;14;10;15;14;16
18;М;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Нет;нет;30;50;10;5;2;39;3;21;3;3;3;3;3;30;5;4;1;7;7;7;35;23;15;22;0;betrayal;0;body;3;15;12;0;0;0;12;6;3;15;9;0;0;0;3;6
30;Ж;Гетеросексуал;Среднее специальное;Поселок городского типа/деревня;Женаты/замужем;Да;нет;22;31;35;4;1;34;3;3;14;4;4;3;3;6;8;7;3;7;7;7;15;5;7;7;1;stereotype;1;.000;18;18;21;18;12;24;18;21;18;18;21;18;12;24;18;21
20;М;Гетеросексуал;Среднее специальное;Москва или Санкт-Петербург;Не женаты/не замужем;Нет;нет;27;38;15;5;3;65;9;6;11;12;9;9;9;10;14;4;4;3;3;5;17;13;13;15;1;work;1;army;10;2;11;9;2;4;14;10;7;9;17;1;3;6;16;10
48;Ж;Гетеросексуал;Высшее;Москва или Санкт-Петербург;Женаты/замужем;Да;2 ребенка;16;31;25;5;3;83;15;21;16;9;5;6;11;17;22;7;3;7;7;7;27;24;22;28;1;betrayal;0;danger;11;10;11;12;3;16;7;9;12;11;8;14;2;12;9;9
19;М;Гетеросексуал;Среднее полное;Город-миллионник;Не женаты/не замужем;Да;нет;14;36;18;1;5;142;21;21;20;20;18;21;21;29;22;4;1;7;7;7;31;29;29;26;1;stereotype;0;IQ;11;10;9;10;3;14;11;13;15;13;17;13;7;17;16;14
